商品编码	商品名称	商品简称	品牌	品牌编码	分类	年份	季节	重量	生产方式	主题	厂家货号	供应商	外部编码	备注	规格编码	规格名称	自定义编码	长	宽	高	公司名称	市场价	实际售价	财务成本	采购价	销售价	经销价	箱规	自定义属性1	自定义属性2	自定义属性3	自定义属性4	自定义属性5	自定义属性6	自定义属性7	自定义属性8	自定义属性9	自定义属性10	自定义属性11	自定义属性12	自定义属性13	自定义属性14	自定义属性15	自定义属性16	自定义属性17	自定义属性18	自定义属性19	自定义属性20
GAO01018	戈雅 铂金胶 24色可选	铂金胶10ml009	戈雅	GAO								嘉兴戈雅化妆品有限公司			GAO01018009	戈雅 铂金胶 24色可选009	6.93789E+12								7				GAOY020009	9																		
GAO01018	戈雅 铂金胶 24色可选	铂金胶10ml010	戈雅	GAO								嘉兴戈雅化妆品有限公司			GAO01018010	戈雅 铂金胶 24色可选010	6.93789E+12								7				GAOY020010	10																		
GAO01018	戈雅 铂金胶 24色可选	铂金胶10ml011	戈雅	GAO								嘉兴戈雅化妆品有限公司			GAO01018011	戈雅 铂金胶 24色可选011	6.93789E+12								7				GAOY020011	11																		
GAO01018	戈雅 铂金胶 24色可选	铂金胶10ml012	戈雅	GAO								嘉兴戈雅化妆品有限公司			GAO01018012	戈雅 铂金胶 24色可选012	6.93789E+12								7				GAOY020012	12																		
GAO01018	戈雅 铂金胶 24色可选	铂金胶10ml013	戈雅	GAO								嘉兴戈雅化妆品有限公司			GAO01018013	戈雅 铂金胶 24色可选013	6.93789E+12								7				GAOY020013	13																		
GAO01018	戈雅 铂金胶 24色可选	铂金胶10ml014	戈雅	GAO								嘉兴戈雅化妆品有限公司			GAO01018014	戈雅 铂金胶 24色可选014	6.93789E+12								7				GAOY020014	14																		
GAO01018	戈雅 铂金胶 24色可选	铂金胶10ml015	戈雅	GAO								嘉兴戈雅化妆品有限公司			GAO01018015	戈雅 铂金胶 24色可选015	6.93789E+12								7				GAOY020015	15																		
GAO01018	戈雅 铂金胶 24色可选	铂金胶10ml016	戈雅	GAO								嘉兴戈雅化妆品有限公司			GAO01018016	戈雅 铂金胶 24色可选016	6.93789E+12								7				GAOY020016	16																		
GAO01018	戈雅 铂金胶 24色可选	铂金胶10ml017	戈雅	GAO								嘉兴戈雅化妆品有限公司			GAO01018017	戈雅 铂金胶 24色可选017	6.93789E+12								7				GAOY020017	17																		
GAO01018	戈雅 铂金胶 24色可选	铂金胶10ml018	戈雅	GAO								嘉兴戈雅化妆品有限公司			GAO01018018	戈雅 铂金胶 24色可选018	6.93789E+12								7				GAOY020018	18																		
GAO01018	戈雅 铂金胶 24色可选	铂金胶10ml019	戈雅	GAO								嘉兴戈雅化妆品有限公司			GAO01018019	戈雅 铂金胶 24色可选019	6.93789E+12								7				GAOY020019	19																		
GAO01018	戈雅 铂金胶 24色可选	铂金胶10ml020	戈雅	GAO								嘉兴戈雅化妆品有限公司			GAO01018020	戈雅 铂金胶 24色可选020	6.93789E+12								7				GAOY020020	20																		
GAO01018	戈雅 铂金胶 24色可选	铂金胶10ml021	戈雅	GAO								嘉兴戈雅化妆品有限公司			GAO01018021	戈雅 铂金胶 24色可选021	6.93789E+12								7				GAOY020021	21																		
GAO01018	戈雅 铂金胶 24色可选	铂金胶10ml022	戈雅	GAO								嘉兴戈雅化妆品有限公司			GAO01018022	戈雅 铂金胶 24色可选022	6.93789E+12								7				GAOY020022	22																		
GAO01018	戈雅 铂金胶 24色可选	铂金胶10ml023	戈雅	GAO								嘉兴戈雅化妆品有限公司			GAO01018023	戈雅 铂金胶 24色可选023	6.93789E+12								7				GAOY020023	23																		
GAO01018	戈雅 铂金胶 24色可选	铂金胶10ml024	戈雅	GAO								嘉兴戈雅化妆品有限公司			GAO01018024	戈雅 铂金胶 24色可选024	6.93789E+12								7				GAOY020024	24																		
GAO01019	戈雅 银河星空胶 6色可选 10ml	星空胶10ml001	戈雅	GAO								嘉兴戈雅化妆品有限公司			GAO01019001	戈雅 银河星空胶 6色可选 10ml001	6.93789E+12								8				GAOY024001	1																		
GAO01019	戈雅 银河星空胶 6色可选 10ml	星空胶10ml002	戈雅	GAO								嘉兴戈雅化妆品有限公司			GAO01019002	戈雅 银河星空胶 6色可选 10ml002	6.93789E+12								8				GAOY024002	2																		
GAO01019	戈雅 银河星空胶 6色可选 10ml	星空胶10ml003	戈雅	GAO								嘉兴戈雅化妆品有限公司			GAO01019003	戈雅 银河星空胶 6色可选 10ml003	6.93789E+12								8				GAOY024003	3																		
GAO01019	戈雅 银河星空胶 6色可选 10ml	星空胶10ml004	戈雅	GAO								嘉兴戈雅化妆品有限公司			GAO01019004	戈雅 银河星空胶 6色可选 10ml004	6.93789E+12								8				GAOY024004	4																		
GAO01019	戈雅 银河星空胶 6色可选 10ml	星空胶10ml005	戈雅	GAO								嘉兴戈雅化妆品有限公司			GAO01019005	戈雅 银河星空胶 6色可选 10ml005	6.93789E+12								8				GAOY024005	5																		
GAO01019	戈雅 银河星空胶 6色可选 10ml	星空胶10ml006	戈雅	GAO								嘉兴戈雅化妆品有限公司			GAO01019006	戈雅 银河星空胶 6色可选 10ml006	6.93789E+12								8				GAOY024006	6																		
GAO01020	戈雅 南瓜色系甲油胶 6色可选 10ml	甲油胶10ml001	戈雅	GAO								嘉兴戈雅化妆品有限公司			GAO01020001	戈雅 南瓜色系甲油胶 6色可选 10ml001	6.93789E+12								5				GAOY025001	1																		
GAO01020	戈雅 南瓜色系甲油胶 6色可选 10ml	甲油胶10ml002	戈雅	GAO								嘉兴戈雅化妆品有限公司			GAO01020002	戈雅 南瓜色系甲油胶 6色可选 10ml002	6.93789E+12								5				GAOY025002	2																		
GAO01020	戈雅 南瓜色系甲油胶 6色可选 10ml	甲油胶10ml003	戈雅	GAO								嘉兴戈雅化妆品有限公司			GAO01020003	戈雅 南瓜色系甲油胶 6色可选 10ml003	6.93789E+12								5				GAOY025003	3																		
GAO01020	戈雅 南瓜色系甲油胶 6色可选 10ml	甲油胶10ml004	戈雅	GAO								嘉兴戈雅化妆品有限公司			GAO01020004	戈雅 南瓜色系甲油胶 6色可选 10ml004	6.93789E+12								5				GAOY025004	4																		
GAO01020	戈雅 南瓜色系甲油胶 6色可选 10ml	甲油胶10ml005	戈雅	GAO								嘉兴戈雅化妆品有限公司			GAO01020005	戈雅 南瓜色系甲油胶 6色可选 10ml005	6.93789E+12								5				GAOY025005	5																		
GAO01020	戈雅 南瓜色系甲油胶 6色可选 10ml	甲油胶10ml006	戈雅	GAO								嘉兴戈雅化妆品有限公司			GAO01020006	戈雅 南瓜色系甲油胶 6色可选 10ml006	6.93789E+12								5				GAOY025006	6																		
GAO01021	戈雅 镭射胶 12色可选 10ml	镭射胶10ml001	戈雅	GAO								嘉兴戈雅化妆品有限公司			GAO01021001	戈雅 镭射胶 12色可选 10ml001	6.93789E+12								16				GAOY026001	1																		
GAO01021	戈雅 镭射胶 12色可选 10ml	镭射胶10ml002	戈雅	GAO								嘉兴戈雅化妆品有限公司			GAO01021002	戈雅 镭射胶 12色可选 10ml002	6.93789E+12								16				GAOY026002	2																		
GAO01021	戈雅 镭射胶 12色可选 10ml	镭射胶10ml003	戈雅	GAO								嘉兴戈雅化妆品有限公司			GAO01021003	戈雅 镭射胶 12色可选 10ml003	6.93789E+12								16				GAOY026003	3																		
GAO01021	戈雅 镭射胶 12色可选 10ml	镭射胶10ml004	戈雅	GAO								嘉兴戈雅化妆品有限公司			GAO01021004	戈雅 镭射胶 12色可选 10ml004	6.93789E+12								16				GAOY026004	4																		
GAO01021	戈雅 镭射胶 12色可选 10ml	镭射胶10ml005	戈雅	GAO								嘉兴戈雅化妆品有限公司			GAO01021005	戈雅 镭射胶 12色可选 10ml005	6.93789E+12								16				GAOY026005	5																		
GAO01021	戈雅 镭射胶 12色可选 10ml	镭射胶10ml006	戈雅	GAO								嘉兴戈雅化妆品有限公司			GAO01021006	戈雅 镭射胶 12色可选 10ml006	6.93789E+12								16				GAOY026006	6																		
GAO01021	戈雅 镭射胶 12色可选 10ml	镭射胶10ml007	戈雅	GAO								嘉兴戈雅化妆品有限公司			GAO01021007	戈雅 镭射胶 12色可选 10ml007	6.93789E+12								16				GAOY026007	7																		
GAO01021	戈雅 镭射胶 12色可选 10ml	镭射胶10ml008	戈雅	GAO								嘉兴戈雅化妆品有限公司			GAO01021008	戈雅 镭射胶 12色可选 10ml008	6.93789E+12								16				GAOY026008	8																		
GAO01021	戈雅 镭射胶 12色可选 10ml	镭射胶10ml009	戈雅	GAO								嘉兴戈雅化妆品有限公司			GAO01021009	戈雅 镭射胶 12色可选 10ml009	6.93789E+12								16				GAOY026009	9																		
GAO01021	戈雅 镭射胶 12色可选 10ml	镭射胶10ml010	戈雅	GAO								嘉兴戈雅化妆品有限公司			GAO01021010	戈雅 镭射胶 12色可选 10ml010	6.93789E+12								16				GAOY026010	10																		
GAO01021	戈雅 镭射胶 12色可选 10ml	镭射胶10ml011	戈雅	GAO								嘉兴戈雅化妆品有限公司			GAO01021011	戈雅 镭射胶 12色可选 10ml011	6.93789E+12								16				GAOY026011	11																		
GAO01021	戈雅 镭射胶 12色可选 10ml	镭射胶10ml012	戈雅	GAO								嘉兴戈雅化妆品有限公司			GAO01021012	戈雅 镭射胶 12色可选 10ml012	6.93789E+12								16				GAOY026012	12																		
GAO01022	戈雅 七彩霓虹胶甲油胶 12色可选 10ml	甲油胶10ml001	戈雅	GAO								嘉兴戈雅化妆品有限公司			GAO01022001	戈雅 七彩霓虹胶甲油胶 12色可选 10ml001	6.93789E+12								7				GAOY027001	1																		
GAO01022	戈雅 七彩霓虹胶甲油胶 12色可选 10ml	甲油胶10ml002	戈雅	GAO								嘉兴戈雅化妆品有限公司			GAO01022002	戈雅 七彩霓虹胶甲油胶 12色可选 10ml002	6.93789E+12								7				GAOY027002	2																		
GAO01022	戈雅 七彩霓虹胶甲油胶 12色可选 10ml	甲油胶10ml003	戈雅	GAO								嘉兴戈雅化妆品有限公司			GAO01022003	戈雅 七彩霓虹胶甲油胶 12色可选 10ml003	6.93789E+12								7				GAOY027003	3																		
GAO01022	戈雅 七彩霓虹胶甲油胶 12色可选 10ml	甲油胶10ml004	戈雅	GAO								嘉兴戈雅化妆品有限公司			GAO01022004	戈雅 七彩霓虹胶甲油胶 12色可选 10ml004	6.93789E+12								7				GAOY027004	4																		
GAO01022	戈雅 七彩霓虹胶甲油胶 12色可选 10ml	甲油胶10ml005	戈雅	GAO								嘉兴戈雅化妆品有限公司			GAO01022005	戈雅 七彩霓虹胶甲油胶 12色可选 10ml005	6.93789E+12								7				GAOY027005	5																		
GAO01022	戈雅 七彩霓虹胶甲油胶 12色可选 10ml	甲油胶10ml006	戈雅	GAO								嘉兴戈雅化妆品有限公司			GAO01022006	戈雅 七彩霓虹胶甲油胶 12色可选 10ml006	6.93789E+12								7				GAOY027006	6																		
GAO01022	戈雅 七彩霓虹胶甲油胶 12色可选 10ml	甲油胶10ml007	戈雅	GAO								嘉兴戈雅化妆品有限公司			GAO01022007	戈雅 七彩霓虹胶甲油胶 12色可选 10ml007	6.93789E+12								7				GAOY027007	7																		
GAO01022	戈雅 七彩霓虹胶甲油胶 12色可选 10ml	甲油胶10ml008	戈雅	GAO								嘉兴戈雅化妆品有限公司			GAO01022008	戈雅 七彩霓虹胶甲油胶 12色可选 10ml008	6.93789E+12								7				GAOY027008	8																		
GAO01022	戈雅 七彩霓虹胶甲油胶 12色可选 10ml	甲油胶10ml009	戈雅	GAO								嘉兴戈雅化妆品有限公司			GAO01022009	戈雅 七彩霓虹胶甲油胶 12色可选 10ml009	6.93789E+12								7				GAOY027009	9																		
GAO01022	戈雅 七彩霓虹胶甲油胶 12色可选 10ml	甲油胶10ml010	戈雅	GAO								嘉兴戈雅化妆品有限公司			GAO01022010	戈雅 七彩霓虹胶甲油胶 12色可选 10ml010	6.93789E+12								7				GAOY027010	10																		
GAO01022	戈雅 七彩霓虹胶甲油胶 12色可选 10ml	甲油胶10ml011	戈雅	GAO								嘉兴戈雅化妆品有限公司			GAO01022011	戈雅 七彩霓虹胶甲油胶 12色可选 10ml011	6.93789E+12								7				GAOY027011	11																		
GAO01022	戈雅 七彩霓虹胶甲油胶 12色可选 10ml	甲油胶10ml012	戈雅	GAO								嘉兴戈雅化妆品有限公司			GAO01022012	戈雅 七彩霓虹胶甲油胶 12色可选 10ml012	6.93789E+12								7				GAOY027012	12																		
GAO01023	戈雅 粘钻胶5克	粘钻胶5克	戈雅	GAO								嘉兴戈雅化妆品有限公司			GAO01023000	戈雅 粘钻胶5克									7				GAOY021																			
GAO01024	戈雅 粘钻胶15克	粘钻胶15克	戈雅	GAO								嘉兴戈雅化妆品有限公司			GAO01024000	戈雅 粘钻胶15克									12				GAOY022																			
GAO01025	戈雅 可剥底胶	可剥底胶10ml	戈雅	GAO								嘉兴戈雅化妆品有限公司			GAO01025000	戈雅 可剥底胶	6.93789E+12								5				GAOY023																			
GAO02001	GAOY戈雅 酒红系列12色色板	色板	戈雅	GAO								佳靓睫毛			GAO02001000	GAOY戈雅 酒红系列12色色板									6				GAO02001000																			
GAO02002	GAOY戈雅 奶奶灰系列12色色板	色板	戈雅	GAO								佳靓睫毛			GAO02002000	GAOY戈雅 奶奶灰系列12色色板									6				GAO02002000																			
GAO02003	GAOY戈雅 猫眼胶24色色板	色板	戈雅	GAO								佳靓睫毛			GAO02003000	GAOY戈雅 猫眼胶24色色板									10				GAO02003000																			
GAO02004	GAOY戈雅 冰透系列12色色板	色板	戈雅	GAO								佳靓睫毛			GAO02004000	GAOY戈雅 冰透系列12色色板									6				GAO02004000																			
GAO02005	GAOY戈雅 孔雀微钻胶12色色板	色板	戈雅	GAO								佳靓睫毛			GAO02005000	GAOY戈雅 孔雀微钻胶12色色板									6				GAO02005000																			
GAO02006	GAOY戈雅 铂金胶24色色板	色板	戈雅	GAO								佳靓睫毛			GAO02006000	GAOY戈雅 铂金胶24色色板									10				GAO02006000																			
GAO02007	GAOY戈雅 流沙系列甲油胶 12色色板	色板	戈雅	GAO								佳靓睫毛			GAO02007000	GAOY戈雅 流沙系列甲油胶 12色色板									6				GAO02007000																			
GAO02008	GAOY戈雅 裸色系列12色色板	色板	戈雅	GAO								佳靓睫毛			GAO02008000	GAOY戈雅 裸色系列12色色板									6				GAO02008000																			
GAO02009	GAOY戈雅 繁星胶 12色色板	色板	戈雅	GAO								佳靓睫毛			GAO02009000	GAOY戈雅 繁星胶 12色色板									6				GAO02009000																			
GAO02010	GAOY戈雅 炫彩贝壳胶12色色板	色板	戈雅	GAO								佳靓睫毛			GAO02010000	GAOY戈雅 炫彩贝壳胶12色色板									6				GAO02010000																			
GAO02011	GAOY戈雅 魔镜粉 2g 8色可选	魔镜粉2g001	戈雅	GAO								嘉兴戈雅化妆品有限公司			GAO02011001	GAOY戈雅 魔镜粉 2g 8色可选001	6.93789E+12								7.5				GAOY016001	1																		
GAO02011	GAOY戈雅 魔镜粉 2g 8色可选	魔镜粉2g002	戈雅	GAO								嘉兴戈雅化妆品有限公司			GAO02011002	GAOY戈雅 魔镜粉 2g 8色可选002	6.93789E+12								7.5				GAOY016002	2																		
GAO02011	GAOY戈雅 魔镜粉 2g 8色可选	魔镜粉2g003	戈雅	GAO								嘉兴戈雅化妆品有限公司			GAO02011003	GAOY戈雅 魔镜粉 2g 8色可选003	6.93789E+12								7.5				GAOY016003	3																		
GAO02011	GAOY戈雅 魔镜粉 2g 8色可选	魔镜粉2g004	戈雅	GAO								嘉兴戈雅化妆品有限公司			GAO02011004	GAOY戈雅 魔镜粉 2g 8色可选004	6.93789E+12								7.5				GAOY016004	4																		
GAO02011	GAOY戈雅 魔镜粉 2g 8色可选	魔镜粉2g005	戈雅	GAO								嘉兴戈雅化妆品有限公司			GAO02011005	GAOY戈雅 魔镜粉 2g 8色可选005	6.93789E+12								7.5				GAOY016005	5																		
GAO02011	GAOY戈雅 魔镜粉 2g 8色可选	魔镜粉2g006	戈雅	GAO								嘉兴戈雅化妆品有限公司			GAO02011006	GAOY戈雅 魔镜粉 2g 8色可选006	6.93789E+12								7.5				GAOY016006	6																		
GAO02011	GAOY戈雅 魔镜粉 2g 8色可选	魔镜粉2g007	戈雅	GAO								嘉兴戈雅化妆品有限公司			GAO02011007	GAOY戈雅 魔镜粉 2g 8色可选007	6.93789E+12								7.5				GAOY016007	7																		
GAO02011	GAOY戈雅 魔镜粉 2g 8色可选	魔镜粉2g008	戈雅	GAO								嘉兴戈雅化妆品有限公司			GAO02011008	GAOY戈雅 魔镜粉 2g 8色可选008	6.93789E+12								7.5				GAOY016008	8																		
GAO02012	GAOY戈雅赠品魔镜棒	魔镜粉棒子短款	戈雅	GAO								嘉兴戈雅化妆品有限公司			GAO02012000	GAOY戈雅赠品魔镜棒短款	GAOY017001								0				GAOY017001	短款																		
GAO02013	GAOY戈雅赠品魔镜棒	魔镜粉棒子长款	戈雅	GAO								嘉兴戈雅化妆品有限公司			GAO02013000	GAOY戈雅赠品魔镜棒长款	GAOY017002								0				GAOY017002	长款																		
GAO14001	戈雅10ml瓶型 刷头	刷头	戈雅	GAO								嘉兴戈雅化妆品有限公司			GAO14001000	戈雅10ml瓶型 刷头	GAOY028								0				GAOY028																			
GAO14002	戈雅10ml瓶型 盖子	盖子	戈雅	GAO								嘉兴戈雅化妆品有限公司			GAO14002000	戈雅10ml瓶型 盖子	GAOY029								0				GAOY029																			
GAO14003	GAOY戈雅 甲油胶随机色 10ml	甲油胶10ml	戈雅	GAO								嘉兴戈雅化妆品有限公司			GAO14003000	GAOY戈雅 甲油胶随机色 10ml	GAOYZP001								4.5				GAOYZP001																			
GAO51001	戈雅奶奶灰色系套 10ml 12件（1-12）	戈雅奶奶灰色系套 10ml 12件（1-12）	戈雅	GAO								套装			GAO51001000	戈雅奶奶灰色系套 10ml 12件（1-12）	GAOY901								54				GAOY901																			
GAO51002	魔镜粉套装 8色（001-008）	魔镜粉套装 8色（001-008）	戈雅	GAO								套装			GAO51002000	魔镜粉套装 8色（001-008）	GAOY902								60				GAOY902																			
GAO51003	酒红色系列套装 12色（1-12）	酒红色系列套装 12色（1-12）	戈雅	GAO								套装			GAO51003000	酒红色系列套装 12色（1-12）	GAOY903								54				GAOY903																			
GAO51004	裸色系列套装 12色（1-12）	裸色系列套装 12色（1-12）	戈雅	GAO								套装			GAO51004000	裸色系列套装 12色（1-12）	GAOY904								54				GAOY904																			
GAO51005	流沙胶 12色组合套装（1-12）	流沙胶 12色组合套装（1-12）	戈雅	GAO								套装			GAO51005000	流沙胶 12色组合套装（1-12）	GAOY905								84				GAOY905																			
GAO51006	戈雅 170色 全色套装 10ml（1-170）	戈雅 170色 全色套装 10ml（1-170）	戈雅	GAO								套装			GAO51006000	戈雅 170色 全色套装 10ml（1-170）	GAOY9001								1178.6				GAOY9001																			
GAO51007	戈雅 基础胶12瓶（底胶*4+免洗封层*6+加固胶*2）10ml	戈雅 基础胶12瓶（底胶*4+免洗封层*6+加固胶*2）10ml	戈雅	GAO								套装			GAO51007000	戈雅 基础胶12瓶（底胶*4+免洗封层*6+加固胶*2）10ml	GAOY9002								54				GAOY9002																			
GAO51008	戈雅 基础胶24瓶（底胶*8+免洗封层*12+加固胶*4）10ml	戈雅 基础胶24瓶（底胶*8+免洗封层*12+加固胶*4）10ml	戈雅	GAO								套装			GAO51008000	戈雅 基础胶24瓶（底胶*8+免洗封层*12+加固胶*4）10ml	GAOY9003								108				GAOY9003																			
GAO51009	戈雅 新春25色套装 10ml	戈雅 新春25色套装 10ml	戈雅	GAO								套装			GAO51009000	戈雅 新春25色套装 10ml	GAOY9004								364.5				GAOY9004																			
GAO51010	戈雅 热卖58色套装 10ml	戈雅 热卖58色套装 10ml	戈雅	GAO								套装			GAO51010000	戈雅 热卖58色套装 10ml	GAOY9005								364.5				GAOY9005																			
GAO51011	GAOY戈雅 薄荷蓝6色套装  10ml(10.65.90.105.150.166)	GAOY戈雅 薄荷蓝6色套装  10ml(10.65.90.105.150.166)	戈雅	GAO								套装			GAO51011000	GAOY戈雅 薄荷蓝6色套装  10ml(10.65.90.105.150.166)	GAOY9006								27				GAOY9006																			
GAO51012	GAOY戈雅 赤绯红6色套装  10ml(13.16.85.125.157.159)	GAOY戈雅 赤绯红6色套装  10ml(13.16.85.125.157.159)	戈雅	GAO								套装			GAO51012000	GAOY戈雅 赤绯红6色套装  10ml(13.16.85.125.157.159)	GAOY9007								27				GAOY9007																			
GAO51013	GAOY戈雅 翡翠绿6色套装  10ml(6.24.87.88.89.104)	GAOY戈雅 翡翠绿6色套装  10ml(6.24.87.88.89.104)	戈雅	GAO								套装			GAO51013000	GAOY戈雅 翡翠绿6色套装  10ml(6.24.87.88.89.104)	GAOY9008								27				GAOY9008																			
GAO51014	GAOY戈雅 拿铁棕6色套装  10ml(27.28.42.51.69.158)	GAOY戈雅 拿铁棕6色套装  10ml(27.28.42.51.69.158)	戈雅	GAO								套装			GAO51014000	GAOY戈雅 拿铁棕6色套装  10ml(27.28.42.51.69.158)	GAOY9009								27				GAOY9009																			
GAO51015	GAOY戈雅 奶茶杏6色套装  10ml(30.54.55.76.158.160)	GAOY戈雅 奶茶杏6色套装  10ml(30.54.55.76.158.160)	戈雅	GAO								套装			GAO51015000	GAOY戈雅 奶茶杏6色套装  10ml(30.54.55.76.158.160)	GAOY9010								27				GAOY9010																			
GAO51016	GAOY戈雅 樱桃粉6色套装 10ml(14.17.32.38.55.84)	GAOY戈雅 樱桃粉6色套装 10ml(14.17.32.38.55.84)	戈雅	GAO								套装			GAO51016000	GAOY戈雅 樱桃粉6色套装 10ml(14.17.32.38.55.84)	GAOY9011								27				GAOY9011																			
GAO51017	GAOY戈雅 紫藤蔓6色套装  10ml(18.41.67.94.97.106)	GAOY戈雅 紫藤蔓6色套装  10ml(18.41.67.94.97.106)	戈雅	GAO								套装			GAO51017000	GAOY戈雅 紫藤蔓6色套装  10ml(18.41.67.94.97.106)	GAOY9012								27				GAOY9012																			
GAO51018	GAOY戈雅 炫彩贝壳胶12色套装 10ml(1-12)	GAOY戈雅 炫彩贝壳胶12色套装 10ml(1-12)	戈雅	GAO								套装			GAO51018000	GAOY戈雅 炫彩贝壳胶12色套装 10ml(1-12)	GAOY9013								84				GAOY9013																			
GAO51019	GAOY戈雅 孔雀微钻胶12色套装 10ml(1-12)	GAOY戈雅 孔雀微钻胶12色套装 10ml(1-12)	戈雅	GAO								套装			GAO51019000	GAOY戈雅 孔雀微钻胶12色套装 10ml(1-12)	GAOY9014								84				GAOY9014																			
GAO51020	GAOY戈雅 冰透系列12色套装 10ml(1-12)	GAOY戈雅 冰透系列12色套装 10ml(1-12)	戈雅	GAO								套装			GAO51020000	GAOY戈雅 冰透系列12色套装 10ml(1-12)	GAOY9015								54				GAOY9015																			
GAO51021	GAOY戈雅 马卡龙10色套装 10ml(4.5.12.16.32.41.57.69.89.92)	GAOY戈雅 马卡龙10色套装 10ml(4.5.12.16.32.41.57.69.89.92)	戈雅	GAO								套装			GAO51021000	GAOY戈雅 马卡龙10色套装 10ml(4.5.12.16.32.41.57.69.89.92)	GAOY9016								172.31				GAOY9016																			
GAO51022	戈雅 新手美甲套装25件套(1.2.13.71.117)	戈雅 新手美甲套装25件套(1.2.13.71.117)	戈雅	GAO								套装			GAO51022000	戈雅 新手美甲套装25件套(1.2.13.71.117)	GAOY9018								131.05				GAOY9018																			
GAO51023	戈雅 精明48色套装 10ml 79件套	戈雅 精明48色套装 10ml 79件套	戈雅	GAO								套装			GAO51023000	戈雅 精明48色套装 10ml 79件套	GAOY9019								313.5				GAOY9019																			
GAO51024	戈雅  畅销精选30色套装 10ml 45件套	戈雅  畅销精选30色套装 10ml 45件套	戈雅	GAO								套装			GAO51024000	戈雅  畅销精选30色套装 10ml 45件套	GAOY9020								183				GAOY9020																			
GAO51025	戈雅 底胶6瓶装 10ml	戈雅 底胶6瓶装 10ml	戈雅	GAO								套装			GAO51025000	戈雅 底胶6瓶装 10ml	GAOY9021								27				GAOY9021																			
GAO51026	戈雅 免洗封层6瓶装 10ml	戈雅 免洗封层6瓶装 10ml	戈雅	GAO								套装			GAO51026000	戈雅 免洗封层6瓶装 10ml	GAOY9022								27				GAOY9022																			
GAO51027	GAOY戈雅 猫眼胶24色套装 10ml(1-24)	GAOY戈雅 猫眼胶24色套装 10ml(1-24)	戈雅	GAO								套装			GAO51027000	GAOY戈雅 猫眼胶24色套装 10ml(1-24)	GAOY9023								132				GAOY9023																			
GAO51028	GAOY戈雅 铂金胶24色套装 10ml(1-24)	GAOY戈雅 铂金胶24色套装 10ml(1-24)	戈雅	GAO								套装			GAO51028000	GAOY戈雅 铂金胶24色套装 10ml(1-24)	GAOY9024								168				GAOY9024																			
GAO51029	GAOY戈雅 流沙系列12色套装(1-12)	GAOY戈雅 流沙系列12色套装(1-12)	戈雅	GAO								套装			GAO51029000	GAOY戈雅 流沙系列12色套装(1-12)	GAOY9025								84				GAOY9025																			
GAO51030	GAOY戈雅 繁星胶12色套装(1-12)	GAOY戈雅 繁星胶12色套装(1-12)	戈雅	GAO								套装			GAO51030000	GAOY戈雅 繁星胶12色套装(1-12)	GAOY9026								84				GAOY9026																			
GAO51031	戈雅 银河星空胶 6色套装 10ml	戈雅 银河星空胶 6色套装 10ml	戈雅	GAO								套装			GAO51031000	戈雅 银河星空胶 6色套装 10ml	GAOY9027								48				GAOY9027																			
GAO51032	戈雅 南瓜色系甲油胶 6色套装 10ml	戈雅 南瓜色系甲油胶 6色套装 10ml	戈雅	GAO								套装			GAO51032000	戈雅 南瓜色系甲油胶 6色套装 10ml	GAOY9028								30				GAOY9028																			
GAO51033	戈雅 镭射胶 12色套装 10ml	戈雅 镭射胶 12色套装 10ml	戈雅	GAO								套装			GAO51033000	戈雅 镭射胶 12色套装 10ml	GAOY9029								192				GAOY9029																			
GAO51034	戈雅 七彩霓虹胶甲油胶 12色套装 10ml	戈雅 七彩霓虹胶甲油胶 12色套装 10ml	戈雅	GAO								套装			GAO51034000	戈雅 七彩霓虹胶甲油胶 12色套装 10ml	GAOY9030								84				GAOY9030																			
GCA01001	Gracia黑洞透明底胶 8ml TBH-C01	黑洞底胶 8ml	Gracia	GCA								北京英科可国际贸易有限公司			GCA01001000	Gracia黑洞透明底胶 8ml TBH-C01	4.56037E+12								62.3				4.56037E+12																			
GCA01002	Gracia黑洞彩色甲油胶 8ml	黑洞彩胶 8ml	Gracia	GCA								北京悦燃时代贸易有限公司			GCA01002001	Gracia黑洞彩色甲油胶 8mlTBH-001	4.56037E+12								62.3				4.56037E+12	TBH-001																		
GCA01002	Gracia黑洞彩色甲油胶 8ml	黑洞彩胶 8ml	Gracia	GCA								北京悦燃时代贸易有限公司			GCA01002002	Gracia黑洞彩色甲油胶 8mlTBH-002	4.56037E+12								62.3				4.56037E+12	TBH-002																		
GCA01002	Gracia黑洞彩色甲油胶 8ml	黑洞彩胶 8ml	Gracia	GCA								北京悦燃时代贸易有限公司			GCA01002003	Gracia黑洞彩色甲油胶 8mlTBH-003	4.56037E+12								62.3				4.56037E+12	TBH-003																		
GCA01002	Gracia黑洞彩色甲油胶 8ml	黑洞彩胶 8ml	Gracia	GCA								北京悦燃时代贸易有限公司			GCA01002004	Gracia黑洞彩色甲油胶 8mlTBH-004	4.56037E+12								62.3				4.56037E+12	TBH-004																		
GCA01002	Gracia黑洞彩色甲油胶 8ml	黑洞彩胶 8ml	Gracia	GCA								北京悦燃时代贸易有限公司			GCA01002005	Gracia黑洞彩色甲油胶 8mlTBH-005	4.56037E+12								62.3				4.56037E+12	TBH-005																		
